                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5235,                0.59754,                 1.0237,                0.95915,                0.96385,                0.99122,                0.87765,                0.49183,                0.38416,                 1.2117,             0.00054478,             0.00054478,             0.00054478
                     37,                0.50296,                0.56059,                 1.0106,                0.92864,                0.96072,                0.98545,                0.85923,                0.49984,                0.39427,                 1.2266,             0.00054478,             0.00054478,             0.00054478
                     38,                 0.4915,                0.55388,                 1.0052,                0.94388,                0.94782,                0.97561,                0.85341,                0.50827,                0.36775,                 1.2629,             0.00047876,             0.00047876,             0.00047876
                     39,                0.48642,                0.54521,                 1.0024,                0.96956,                0.98137,                0.99409,                 0.8726,                0.50315,                0.34405,                 1.2728,             0.00044576,             0.00044576,             0.00044576
                     40,                0.47875,                0.52538,                 1.0034,                0.97214,                 0.9499,                0.99116,                0.86476,                0.49594,                0.36847,                 1.2322,             0.00041275,             0.00041275,             0.00041275
                     41,                0.43232,                 0.5289,                0.97855,                0.93979,                0.89353,                0.98338,                0.87546,                0.47339,                0.45024,                 1.2002,             0.00037974,             0.00037974,             0.00037974
                     42,                0.41774,                0.50293,                0.96358,                0.99333,                0.95238,                0.98545,                0.87418,                0.47601,                0.39519,                 1.1873,             0.00034674,             0.00034674,             0.00034674
                     43,                0.40225,                0.49186,                0.94849,                0.98027,                0.96798,                  0.995,                0.89281,                0.44053,                0.35192,                 1.1552,             0.00031373,             0.00031373,             0.00031373
                     44,                0.39188,                0.48411,                0.94101,                0.94727,                0.97619,                0.99318,                0.87361,                0.48395,                0.40195,                  1.203,             0.00028072,             0.00028072,             0.00028072
                     45,                 0.3881,                0.46207,                0.94327,                0.89864,                0.87947,                0.97997,                0.88888,                0.43882,                0.47325,                 1.1418,             0.00024772,             0.00024772,             0.00024772
                     46,                0.38008,                0.45271,                0.93785,                0.91306,                0.94529,                0.98768,                0.90891,                0.44586,                0.39507,                 1.1478,             0.00021471,             0.00021471,             0.00021471
                     47,                0.37424,                0.43998,                0.93117,                0.96914,                      1,                0.99409,                0.90299,                0.45231,                0.34342,                 1.1771,              0.0001817,              0.0001817,              0.0001817
                     48,                0.36935,                0.43366,                0.92448,                0.93795,                0.95238,                0.99295,                0.89632,                0.44167,                0.35146,                 1.1432,              0.0001487,              0.0001487,              0.0001487
                     49,                0.36515,                0.42734,                0.92101,                0.92328,                0.99326,                0.99235,                0.89485,                0.44509,                0.34945,                 1.1443,             0.00011569,             0.00011569,             0.00011569
                     50,                0.35766,                0.41557,                0.91829,                0.97099,                0.97619,                0.99326,                0.89676,                0.44973,                0.34673,                 1.1585,             8.2683e-05,             8.2683e-05,             8.2683e-05
