                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77571,                 2.6528,                 1.2179,                0.49907,                0.72691,                0.68675,                0.51139,                0.75271,                 2.6164,                 1.3171,              0.0033251,              0.0033251,              0.0033251
                      2,                0.84418,                 1.8918,                 1.2377,                0.38779,                0.59745,                0.45056,                0.25531,                 1.2177,                 2.5684,                 1.8539,              0.0066365,              0.0066365,              0.0066365
                      3,                0.99293,                 1.7392,                  1.335,                0.22884,                0.44914,                   0.23,                0.07733,                 2.4019,                 2.5308,                  3.718,              0.0099258,              0.0099258,              0.0099258
                      4,                 1.1326,                  1.785,                 1.4372,                0.70791,                0.57931,                0.66322,                0.46123,                  1.066,                 1.5286,                 1.6918,               0.009901,               0.009901,               0.009901
                      5,                   1.07,                 1.6149,                 1.3857,                0.42258,                0.67001,                0.56644,                0.33802,                 1.2853,                 1.7891,                 1.8257,               0.009868,               0.009868,               0.009868
                      6,                 1.0231,                 1.5164,                 1.3485,                0.65511,                0.57773,                0.67778,                0.50671,                 1.0583,                 1.3578,                 1.6539,               0.009835,               0.009835,               0.009835
                      7,                0.97478,                 1.4162,                 1.3111,                0.76707,                0.69655,                0.79454,                0.59937,                0.93064,                 1.2132,                 1.5293,               0.009802,               0.009802,               0.009802
                      8,                0.94346,                 1.3491,                 1.2898,                 0.4128,                0.80816,                0.58839,                0.42297,                0.84257,                 1.4195,                 1.4925,               0.009769,               0.009769,               0.009769
                      9,                0.89647,                 1.2796,                 1.2594,                0.65172,                 0.7625,                0.77479,                0.62089,                0.75508,                 1.1185,                 1.3699,               0.009736,               0.009736,               0.009736
                     10,                0.90032,                 1.2583,                 1.2617,                0.67222,                0.79998,                0.71222,                0.57073,                0.72482,                 1.0866,                 1.3202,               0.009703,               0.009703,               0.009703
                     11,                0.88243,                  1.218,                  1.243,                0.74053,                0.65905,                0.80367,                0.65705,                0.72714,                 1.1188,                  1.361,                0.00967,                0.00967,                0.00967
                     12,                0.83854,                 1.1617,                 1.2082,                 0.6728,                0.75302,                0.80296,                0.63005,                0.75203,                 1.0344,                 1.3571,               0.009637,               0.009637,               0.009637
                     13,                0.82599,                 1.1421,                 1.2078,                0.73008,                0.68305,                0.77761,                0.63428,                 0.7995,                 1.0265,                 1.4624,               0.009604,               0.009604,               0.009604
                     14,                0.82471,                 1.1272,                 1.2083,                0.70618,                0.72417,                0.81487,                0.66934,                0.69831,                 1.0216,                 1.2999,               0.009571,               0.009571,               0.009571
                     15,                0.81631,                  1.133,                 1.2056,                0.84296,                0.84828,                0.91857,                0.74344,                0.74259,                0.79575,                 1.3366,               0.009538,               0.009538,               0.009538
                     16,                0.80046,                 1.0813,                 1.1839,                0.64523,                0.76795,                0.78313,                0.64089,                0.68555,                0.98502,                 1.3048,               0.009505,               0.009505,               0.009505
                     17,                0.79339,                 1.0855,                 1.1855,                0.70664,                0.82765,                0.83095,                   0.68,                0.80469,                0.85989,                 1.4122,               0.009472,               0.009472,               0.009472
                     18,                0.77271,                 1.0354,                 1.1704,                0.69048,                0.86853,                0.85944,                0.72983,                0.62809,                0.73812,                 1.2583,               0.009439,               0.009439,               0.009439
                     19,                0.78143,                  1.046,                 1.1757,                0.65409,                0.73497,                0.78247,                 0.6271,                0.71253,                 1.0078,                 1.3664,               0.009406,               0.009406,               0.009406
                     20,                0.75736,                 1.0128,                 1.1645,                0.63412,                0.78276,                0.80289,                0.67573,                0.67292,                 1.0287,                 1.3104,               0.009373,               0.009373,               0.009373
                     16,                 0.7793,                 1.0579,                  1.172,                0.76139,                0.80226,                 0.8549,                0.70885,                0.71528,                0.83123,                 1.3529,               0.009505,               0.009505,               0.009505
                     17,                0.78522,                 1.0565,                 1.1775,                0.68321,                0.73539,                0.81085,                0.67042,                0.66097,                0.90512,                  1.277,               0.009472,               0.009472,               0.009472
                     18,                0.76892,                 1.0334,                 1.1667,                0.68345,                0.75431,                0.82146,                0.68776,                0.68988,                0.88004,                 1.3308,               0.009439,               0.009439,               0.009439
                     19,                0.76888,                 1.0227,                  1.168,                0.59361,                0.77328,                0.84332,                0.70233,                0.71253,                 1.0758,                 1.3541,               0.009406,               0.009406,               0.009406
                     20,                 0.7557,                   1.02,                 1.1614,                0.64625,                0.76767,                0.78711,                0.65424,                0.71866,                0.87438,                 1.3396,               0.009373,               0.009373,               0.009373
                     21,                0.75483,                 1.0171,                 1.1632,                0.84513,                0.69297,                0.85668,                0.72706,                0.64234,                0.86604,                 1.2355,                0.00934,                0.00934,                0.00934
                     22,                0.74433,                0.98225,                 1.1529,                0.75062,                0.76379,                0.81707,                0.67739,                0.65566,                 0.8815,                 1.2559,               0.009307,               0.009307,               0.009307
                     23,                0.74347,                0.98482,                 1.1522,                0.72275,                0.80547,                0.83781,                0.71821,                0.65705,                0.80867,                 1.2922,               0.009274,               0.009274,               0.009274
                     24,                0.72613,                0.95889,                  1.138,                 0.6961,                0.79953,                0.80816,                0.68912,                0.65959,                 0.8938,                 1.2794,               0.009241,               0.009241,               0.009241
                     25,                 0.6981,                0.91903,                 1.1174,                0.78471,                0.81379,                0.86951,                0.71032,                0.71568,                0.80777,                  1.351,               0.009208,               0.009208,               0.009208
                     26,                0.70743,                0.92149,                 1.1253,                0.69121,                0.91635,                0.88573,                0.77089,                 0.5716,                0.67478,                 1.2057,               0.009175,               0.009175,               0.009175
                     27,                0.69958,                0.91369,                 1.1188,                0.69953,                0.82461,                0.81687,                0.69174,                0.69374,                0.85035,                 1.3858,               0.009142,               0.009142,               0.009142
                     28,                0.70147,                0.89699,                 1.1239,                0.78243,                0.84052,                0.87371,                  0.755,                0.59991,                0.70283,                 1.2429,               0.009109,               0.009109,               0.009109
                     29,                0.69029,                0.90667,                 1.1182,                0.72415,                0.82328,                0.86792,                0.75621,                0.58317,                0.77362,                 1.2321,               0.009076,               0.009076,               0.009076
                     30,                0.68479,                0.89554,                 1.1175,                0.71838,                0.80678,                0.82027,                0.70808,                0.63323,                0.76167,                 1.2567,               0.009043,               0.009043,               0.009043
                     31,                0.67978,                0.88463,                 1.1086,                0.72947,                0.89052,                0.85394,                0.71946,                0.68225,                 0.7286,                 1.3055,                0.00901,                0.00901,                0.00901
                     32,                0.67957,                0.87729,                 1.1109,                0.68059,                0.89088,                0.85814,                0.74077,                0.57797,                 0.7022,                 1.1828,               0.008977,               0.008977,               0.008977
                     33,                0.66489,                0.85386,                  1.099,                 0.6716,                0.80302,                0.82435,                 0.7258,                 0.5692,                0.91111,                 1.1835,               0.008944,               0.008944,               0.008944
                     34,                0.68868,                0.89125,                 1.1212,                0.69677,                0.88354,                0.82612,                0.71814,                0.60293,                0.76563,                 1.2188,               0.008911,               0.008911,               0.008911
                     35,                0.69154,                 0.8925,                 1.1154,                0.74268,                0.80129,                0.84064,                0.72002,                0.63707,                0.73635,                 1.2495,               0.008878,               0.008878,               0.008878
                     36,                0.66859,                0.85958,                 1.0992,                0.75073,                0.84052,                0.83678,                0.72607,                0.58606,                 0.7681,                 1.2515,               0.008845,               0.008845,               0.008845
                     37,                0.66959,                0.86444,                 1.1071,                0.71667,                0.88276,                0.85849,                0.74895,                0.58359,                0.70655,                 1.2157,               0.008812,               0.008812,               0.008812
                     38,                0.67893,                0.86728,                 1.1135,                0.74123,                0.85936,                 0.8144,                 0.7078,                0.62282,                0.82767,                 1.2895,               0.008779,               0.008779,               0.008779
