                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86762,                 2.2696,                  1.269,                0.65391,                0.41127,                0.35034,                0.21117,                 1.1987,                 2.9627,                 1.8833,              0.0005543,              0.0005543,              0.0005543
                      2,                 1.0423,                 1.7534,                 1.3747,                0.28476,                0.61162,                  0.333,                0.17004,                 1.4261,                  2.056,                 2.1154,               0.001088,               0.001088,               0.001088
                      3,                 1.0595,                 1.6203,                  1.381,                0.53994,                0.49957,                0.53074,                0.26154,                 1.7149,                 1.9565,                 2.3102,              0.0015997,              0.0015997,              0.0015997
                      4,                  1.021,                 1.5387,                 1.3598,                0.30305,                0.66949,                0.46789,                0.31102,                0.95965,                 2.2528,                 1.5787,               0.001568,               0.001568,               0.001568
                      5,                0.97227,                 1.4297,                 1.3182,                0.40574,                0.64009,                0.54413,                0.41491,                0.84096,                 1.3769,                 1.4238,               0.001535,               0.001535,               0.001535
                      6,                0.92333,                 1.3543,                 1.2879,                0.69566,                0.59622,                0.70855,                0.55616,                0.84959,                 1.3627,                 1.4123,               0.001502,               0.001502,               0.001502
                      7,                 0.8796,                 1.2609,                 1.2565,                0.60789,                0.75318,                0.75754,                0.56844,                0.85329,                 1.1696,                 1.5092,               0.001469,               0.001469,               0.001469
                      8,                0.86138,                 1.2365,                 1.2434,                0.63358,                0.83578,                0.74854,                0.59345,                0.79746,                0.96969,                 1.3982,               0.001436,               0.001436,               0.001436
                      9,                0.82518,                 1.1822,                  1.216,                0.54094,                0.67629,                0.66648,                0.55064,                0.79456,                   1.28,                 1.4288,              0.0014029,              0.0014029,              0.0014029
                     10,                0.81284,                 1.1468,                 1.2123,                0.59524,                0.68578,                0.73668,                0.61165,                0.64673,                 1.1433,                  1.257,              0.0013699,              0.0013699,              0.0013699
                     11,                0.78855,                 1.1083,                 1.1913,                0.65626,                0.82328,                0.79479,                0.65167,                0.75428,                0.93451,                 1.3362,              0.0013369,              0.0013369,              0.0013369
                     12,                0.76327,                 1.0584,                 1.1705,                0.63206,                0.80162,                0.84419,                0.70505,                 0.6441,                0.97308,                  1.286,              0.0013039,              0.0013039,              0.0013039
                     13,                0.75295,                 1.0383,                 1.1696,                0.74069,                0.70974,                0.78797,                0.66294,                0.67393,                0.92445,                 1.3078,              0.0012709,              0.0012709,              0.0012709
                     14,                0.72137,                0.99818,                 1.1443,                0.71167,                0.82798,                0.85795,                0.72475,                0.67615,                0.80222,                 1.2744,              0.0012379,              0.0012379,              0.0012379
                     15,                0.72779,                0.99202,                 1.1473,                0.73604,                0.87629,                0.84124,                0.73113,                0.65022,                0.72571,                 1.3072,              0.0012049,              0.0012049,              0.0012049
                     16,                0.70973,                0.95778,                 1.1347,                0.67186,                0.87287,                0.81225,                0.70519,                0.62392,                0.89463,                  1.246,              0.0011719,              0.0011719,              0.0011719
                     17,                0.70379,                0.94796,                 1.1387,                0.66571,                0.72328,                0.77898,                0.67076,                0.63155,                 1.0569,                 1.2895,              0.0011389,              0.0011389,              0.0011389
                     18,                0.68854,                0.93182,                 1.1255,                0.70565,                0.83822,                0.83477,                0.73218,                0.58856,                0.89185,                 1.2304,              0.0011059,              0.0011059,              0.0011059
                     19,                0.68196,                0.92236,                  1.128,                0.75062,                0.79828,                0.82636,                0.69728,                0.62081,                0.84975,                 1.2254,              0.0010729,              0.0010729,              0.0010729
                     20,                0.67221,                0.89177,                 1.1154,                0.69593,                0.83578,                0.86702,                0.74547,                0.59077,                0.75973,                 1.2012,              0.0010399,              0.0010399,              0.0010399
                     21,                0.67427,                0.89739,                 1.1167,                0.77507,                0.76177,                0.81678,                0.70366,                0.60641,                0.79694,                 1.2192,              0.0010069,              0.0010069,              0.0010069
                     22,                0.65182,                0.86289,                 1.1041,                0.72163,                0.71803,                0.76578,                0.64179,                 0.6298,                0.92527,                 1.2244,             0.00097386,             0.00097386,             0.00097386
                     23,                 0.6594,                0.85361,                 1.1115,                0.78796,                0.81853,                0.84181,                0.72859,                0.55935,                0.72981,                 1.1744,             0.00094085,             0.00094085,             0.00094085
                     24,                0.64287,                0.84762,                 1.0968,                0.79402,                0.85603,                0.85122,                0.71916,                0.62257,                0.82591,                 1.2593,             0.00090785,             0.00090785,             0.00090785
                     25,                0.61613,                0.81139,                 1.0771,                0.77604,                 0.8598,                0.88498,                0.77691,                0.56785,                0.64666,                 1.1918,             0.00087484,             0.00087484,             0.00087484
                     26,                0.61765,                0.80804,                 1.0847,                0.73788,                0.82059,                0.85367,                0.73745,                0.56777,                0.71416,                 1.1793,             0.00084184,             0.00084184,             0.00084184
                     27,                 0.6341,                 0.8244,                 1.0918,                0.69739,                0.89681,                0.84426,                0.73029,                0.56165,                0.68835,                 1.1605,             0.00080883,             0.00080883,             0.00080883
                     28,                0.62363,                0.81593,                  1.092,                0.70073,                0.87067,                0.87789,                0.76833,                0.59579,                0.70639,                 1.2037,             0.00077582,             0.00077582,             0.00077582
