                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4399,                 0.5135,                0.97915,                0.80215,                0.65072,                0.74794,                 0.6033,                0.77806,                 1.2649,                 1.2296,              0.0033251,              0.0033251,              0.0033251
                      2,                0.51629,                0.59562,                 1.0176,                0.70549,                0.70909,                0.73132,                0.55479,                0.89432,                 1.0736,                 1.3568,              0.0066145,              0.0066145,              0.0066145
                      3,                0.54947,                0.64242,                 1.0294,                0.70253,                0.71143,                0.71529,                0.53993,                0.85748,                 1.1739,                  1.274,              0.0098599,              0.0098599,              0.0098599
                      4,                0.59583,                0.71447,                 1.0595,                0.76939,                0.66257,                0.73612,                0.50145,                 1.0758,                 1.1308,                 1.5731,               0.009802,               0.009802,               0.009802
                      5,                0.61505,                0.74699,                 1.0695,                0.77106,                0.77978,                0.83331,                0.58642,                0.98508,                0.88306,                 1.4648,               0.009736,               0.009736,               0.009736
                      6,                0.61118,                0.73275,                 1.0689,                0.76564,                0.72466,                0.76815,                0.59974,                0.82324,                 0.9665,                 1.2461,                0.00967,                0.00967,                0.00967
                      7,                0.60068,                0.72303,                 1.0572,                0.72992,                0.62592,                0.69983,                 0.5543,                0.85096,                  1.016,                 1.2674,               0.009604,               0.009604,               0.009604
                      8,                0.60199,                0.72119,                 1.0645,                0.72158,                0.80842,                0.82049,                 0.6524,                0.71843,                0.86953,                 1.1377,               0.009538,               0.009538,               0.009538
                      9,                0.60509,                0.71963,                 1.0652,                0.76407,                0.74936,                0.79832,                  0.633,                0.79239,                0.84804,                 1.1905,               0.009472,               0.009472,               0.009472
                     10,                0.61348,                0.73333,                 1.0704,                0.75467,                0.80191,                0.82086,                0.67578,                0.70179,                0.73782,                 1.1382,               0.009406,               0.009406,               0.009406
                     11,                0.59929,                0.70316,                 1.0578,                0.79625,                0.77783,                0.84293,                0.64019,                0.83686,                 0.8086,                 1.2573,                0.00934,                0.00934,                0.00934
                     12,                0.61011,                0.71842,                 1.0647,                0.68648,                0.75141,                0.74994,                 0.5893,                0.86327,                0.97169,                 1.2447,               0.009274,               0.009274,               0.009274
